2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:23; INFO; NormalSwitch Plugin ; 13716; 18844] Loaded library v5.2.8.1 successfully in ush
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:23; WARNING; GridPlugin; 13716; 18844] [Join] winreg::RegKey TryOpen IsOk
2025-03-27 12:02:23; INFO; GridPlugin; 13716; 18844] [Join] GetProcessAccountName: nps_9
2025-03-27 12:02:23; INFO; GridPlugin; 13716; 18844] Loaded library v5.2.6.0 successfully in ush
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:23; INFO; HW Pluing; 13716; 18844] Loaded library v5.2.2.0 successfully in ush
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:23; INFO; Macro Key Plugin; 13716; 18844] Loaded library v5.2.6.0 successfully in ush
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:23; INFO; Monitor Plugin; 13716; 18844] Loaded library v5.4.3.0 successfully in ush
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:23; INFO; Mobile Plugin; 13716; 18844] Loaded library v5.2.2.0 successfully in ush
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:23; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:24; INFO; ScenarioProfilePlugIn; 13716; 18844] Loaded library v5.2.6.0 successfully in ush
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:24; INFO; WebSocketClientPlugin; 13716; 18844] Loaded library v1.5.3.0 successfully in ush
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead End, Command = 1
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] UserSessionPipeStreamServer OnRead Start, Command = 1
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN Start
2025-03-27 12:02:24; INFO; Throttle Plugin; 13716; 18844] Loaded library v5.4.10.1 successfully in ush
2025-03-27 12:02:24; INFO; User Session Manager; 13716; 18844] USH_COMMAND_JOIN End
